# t Temp Pres Epot Etot
0.000000 2.033681 30.686584 -559.805603 -230.349304
0.050000 2.031064 28.828028 -594.897156 -265.864807
0.100000 1.944789 28.076326 -608.649963 -293.594177
0.150000 2.018088 30.318254 -566.555298 -239.625061
0.200000 1.993001 28.944263 -594.149475 -271.283264
0.250000 1.962835 28.738005 -595.711609 -277.732269
0.300000 1.996422 28.771818 -598.284729 -274.864410
0.350000 2.021568 28.413244 -602.867737 -275.373657
0.400000 1.932320 29.166424 -587.207092 -274.171295
0.450000 1.973904 29.773739 -579.269104 -259.496613
0.500000 2.014422 28.676443 -599.402039 -273.065674
0.550000 2.001126 29.289553 -586.452637 -262.270264
0.600000 1.942997 29.036690 -591.676025 -276.910431
0.650000 2.005827 29.680761 -578.412109 -253.468048
0.700000 1.979824 29.782675 -578.391663 -257.660248
0.749999 2.001129 28.710035 -597.530640 -273.347778
0.799999 1.984865 27.494394 -620.230103 -298.682007
0.849999 1.991427 27.739311 -614.307190 -291.695953
0.899999 1.943673 28.818249 -594.556213 -279.681183
0.949999 2.020361 29.773891 -578.826050 -251.527588
0.999999 2.042554 31.433937 -547.546875 -216.653076
1.049999 1.990946 27.536320 -619.931580 -297.398346
1.099999 2.014158 28.787764 -598.811279 -272.517700
1.149999 1.984827 31.557079 -541.310974 -219.769043
1.199999 2.011322 28.454369 -602.069214 -276.234985
1.249999 2.052814 28.544632 -601.866638 -269.310760
1.299999 1.945925 27.659191 -615.431396 -300.191620
1.349999 2.048424 29.503180 -584.596008 -252.751373
1.399999 1.949337 29.494089 -581.795288 -266.002686
1.449999 2.000690 29.581314 -581.172546 -257.060730
1.499999 1.977755 28.595789 -599.244690 -278.848358
1.549999 2.068606 28.158169 -608.786560 -273.672424
1.599999 2.035320 31.047531 -551.502014 -221.780151
1.649999 1.980359 29.065195 -591.448853 -270.630768
1.699999 2.020031 28.485165 -603.138367 -275.893402
1.749999 1.948087 30.174854 -567.795715 -252.205658
1.799999 1.997713 29.202721 -588.792358 -265.162781
1.849998 1.999924 28.425856 -601.411987 -277.424316
1.899998 1.991444 27.987188 -610.991211 -288.377228
1.949998 2.001893 30.012434 -573.033813 -248.727173
1.999998 2.034586 29.048586 -591.336365 -261.733398
